topic_id,label,label_short,system_component,issue_type,severity,confidence,onset_mileage_typical_miles,onset_mileage_range,affected_engines,affected_years,known_part_codes,engine_notes,prevalence_pct,chronic_signal,summary,warning_signs,inspection_advice,data_quality,thread_count,notes
29,"Electrical system and ECU failures causing engine shutdowns, power loss, and instrument cluster blackouts",Electrical/ECU Failures,electrical,intermittent_fault,high,medium,,,"[""unknown"", ""TDI_unknown""]",2000-2020,"[{""code"": ""5Q1.905.865"", ""name"": ""Engine control unit or related electrical component"", ""notes"": ""Mentioned in snippet as replaced part""}]",No clear engine-specific pattern; issues appear across petrol and diesel variants based on limited TDI mentions.,1.8,0.0,"This topic describes electrical and engine control unit (ECU) failures that manifest as sudden engine shutdowns while driving, rough idling with EPC warnings, or complete instrument cluster blackouts while the engine remains running. The failures are intermittent and often require ECU resets or replacements, with incidents occurring at various mileages including very low mileage (5k miles).","[""EPC (Electronic Power Control) warning light illumination"", ""Sudden engine shutdown without warning while driving"", ""Instrument cluster or electrical systems going dead while vehicle is in motion"", ""Rough idle accompanied by shaking and EPC light""]","Check for any stored ECU fault codes and test for intermittent electrical failures by running all systems (lights, wipers, infotainment) while monitoring for voltage drops or system resets.",medium,37,"Source data is complaint-dominated (NHTSA complaints and CarProblemZoo) with insufficient mileage data; engine specifications are mostly unknown, limiting precise engine-family correlation."
30,Sunroof and door water leaks causing interior damage and electrical risk,Sunroof/Water Leaks,other,chronic_failure,high,high,,,"[""2.0_TSI""]",2016-2022,"[{""code"": null, ""name"": ""Sunroof frame/drain assembly"", ""notes"": ""Stress cracks in frame; clogged or misrouted drains""}]",,1.4,0.0,"This topic describes chronic water leaks into the interior, primarily from sunroof frame cracks or clogged drains, and secondarily from door seal/drain issues. Water ingress saturates the headliner, A-pillars, and can drip onto critical electronics like the ACC cruise control module, posing electrical short and potential airbag safety risks.","[""Water stains or dampness on headliner, A-pillars, or door panels"", ""Dripping water onto center console or electronics after rain"", ""Musty odor or mold in cabin""]","When buying a used VW Golf (especially 2016-2022 models with a sunroof), inspect the headliner and A-pillars for water stains, run water over the sunroof and check for leaks inside, and verify all door drains are clear.",medium,29,"Data is US-market complaint dominated (nhtsa_complaint, carproblemzoo); lacks TSB/recall documents in this bundle. Mileage data insufficient. Most engine specs unknown, but 2.0_TSI (GTI) appears in reports."
31,"Tire sidewall blowouts, tread separation, and rapid cracking",Tire failures,suspension,safety_recall,high,medium,,,"[""unknown"", ""TDI_unknown"", ""2.0_TSI""]",,[],,1.4,0.0,"This topic documents sudden tire failures including sidewall blowouts, tread separation, and rapid cracking on the outer edges, often occurring at highway speeds with minimal warning. The reports span multiple model years and tire brands, with some incidents occurring on nearly new tires with low mileage.","[""Vibration or thumping noise while driving"", ""Vehicle pulling hard to one side"", ""Visible cracking on tire sidewalls or outer edges""]","When buying a used VW Golf, carefully inspect all tires for sidewall cracking, uneven wear, and check the manufacturing date, regardless of tread depth.",medium,29,Data comes exclusively from owner complaints (NHTSA and CarProblemZoo) with no manufacturer TSBs or recalls in this bundle; some complaints explicitly state the issue is with replacement tires rather than original equipment.
32,Turbocharger failure and diesel fuel system issues causing stalling and power loss,Turbo failure & stalling,engine,chronic_failure,high,medium,,,"[""1.6_TDI"", ""2.0_TDI""]",2000-2011,[],"Primarily affects EA189 diesel engines (1.6_TDI, 2.0_TDI) from the 2000-2011 period, with turbo failures and fuel system issues leading to dangerous stalling.",1.9,0.0,"This topic describes turbocharger failures and diesel fuel system problems in TDI Golf models, particularly from the 2000-2011 period. Owners report sudden turbo failures, dangerous stalling while in motion (sometimes in traffic), and intermittent power loss followed by white smoke emissions.","[""Sudden loss of power during acceleration"", ""Engine stalling while vehicle is still moving"", ""White smoke from exhaust after power loss episodes"", ""Reduced turbo performance ('pep') after replacement""]","When buying a used TDI Golf from 2000-2011, test drive for turbo responsiveness and watch for any hesitation or stalling during acceleration, especially when shifting from 1st to 2nd gear.",medium,39,Data comes exclusively from owner complaints (NHTSA and CarProblemZoo) with no technical service bulletins or recalls included; engine specifications are often unspecified in complaints.
33,"Brake system failures including fluid loss, pedal chatter, and hill hold malfunction",Brake system failures,brakes,safety_recall,high,high,,,"[""2.0_TSI""]",2005-2023,"[{""code"": ""unknown"", ""name"": ""Brake fluid reservoir/level sensor"", ""notes"": ""Associated with low fluid warnings""}, {""code"": ""unknown"", ""name"": ""Hill Hold Control module/software"", ""notes"": ""Affects 2022-2023 GTI/R manual models""}]","Primary signal from 2.0_TSI (GTI/R) models, but reports span multiple engine types suggesting a broader brake system issue.",1.5,0.0,"This topic reveals two distinct brake system safety issues in VW Golf models. The first involves sudden brake failure with low fluid warnings, pedal chatter, and loss of hydraulic pressure, documented across multiple model years. The second is a specific hill hold control malfunction in 2022-2023 GTI/R manual models where brakes remain fully engaged after stopping on inclines and won't release normally.","[""'Brake: Fluid Low' warning message appears"", ""Brake pedal goes to floor with chattering noise"", ""Brakes remain engaged on hills after releasing pedal"", ""Unusual vibration when turning off engine""]","Check for brake fluid leaks at all four wheels and master cylinder, test hill hold function on inclines, and verify no recall campaigns for brake system components are outstanding.",medium,30,Data dominated by NHTSA complaints with specific safety incidents; includes both chronic failure patterns and specific recall-worthy defects.
34,"Front axle, CV joint, and brake caliper failures with associated steering hose leaks",Front axle/brake issues,suspension,chronic_failure,medium,medium,,,[],2000-2017,[],,1.3,0.0,"This topic describes a cluster of front suspension and brake component failures, primarily affecting early 2000s models. Issues include CV joint failure requiring axle shaft replacement, frozen front brake calipers, leaking power steering hoses, and premature wheel bearing wear, often occurring together on the same vehicle.","[""Vibration at highway speeds (especially over 80 mph)"", ""Clicking or grinding noise from front wheels during turns"", ""Brake drag or uneven braking"", ""Power steering fluid leaks near rear of hose""]","When inspecting a used VW Golf, check for CV boot tears, test for brake caliper binding, inspect power steering hoses for leaks near connections, and verify all suspension bolts (particularly axle-to-transmission bolts) are properly torqued.",medium,26,Data is US-only from owner complaints; no engine specification data available; year distribution suggests this primarily affects earlier generations (2000-2003) but some reports extend to 2017 models.
35,Hood latch mechanism failure causing inability to open hood or sudden unlatching while driving,Hood Latch Failure,other,safety_recall,high,high,,,[],2000-2015,[],,1.1,0.0,"This topic describes failures of the hood latch mechanism, with two distinct failure modes: the internal release handle breaking, preventing the hood from being opened for maintenance, and the latch releasing unexpectedly while driving, causing the hood to fly up and shatter the windshield. The issue spans multiple model years and appears to be a body/chassis component failure unrelated to specific powertrains.","[""Difficulty or increased resistance when pulling the interior hood release handle"", ""Unusual noises or looseness from the hood latch area while driving""]","When inspecting a used VW Golf, test the interior hood release handle for smooth operation and verify the hood latches securely when closed; check for any recall history related to the hood latch mechanism.",medium,22,"Data is US-only (NHTSA complaints) and lacks engine specification details, suggesting this is a body/chassis issue not tied to specific powertrains. The year range (2000-2015) indicates a potential long-running design or part quality issue."
36,Sharp interior trim causing hand and finger lacerations,Sharp trim injuries,other,safety_recall,high,high,,,"[""2.0_TSI""]",2015-2018,"[{""code"": ""unknown"", ""name"": ""Chrome trim around shifter/console"", ""notes"": ""Also affects START/STOP button and steering wheel trim""}]",No specific engine pattern; issue is related to interior trim design and materials.,1.0,0.0,"Multiple owners report serious hand and finger lacerations from sharp, exposed edges on interior chrome trim pieces, particularly around the gear shifter, console, START/STOP button, and steering wheel. The injuries are described as severe, with significant bleeding, and one snippet references a recall on similar trim for 2017 vehicles.","[""Visible sharp edges on chrome interior trim"", ""Peeling or flaking coating on plastic trim pieces"", ""Reports of cuts when reaching into storage compartments near shifter""]","When inspecting a used VW Golf, run your fingers carefully along all interior chrome trim edges, especially around the shifter, console, and steering wheel, checking for sharp, unfinished, or peeling metal or plastic that could cause injury.",medium,21,"Data is US-only from NHTSA complaints and CarProblemZoo; one snippet mentions a recall on 2017 vehicles, suggesting this may be a known safety issue addressed by manufacturer."
37,EPC/Check Engine Light with Throttle/Turbo Issues and Power Loss,EPC Light / Power Loss,engine,intermittent_fault,high,medium,,,"[""2.0_TSI""]",2013-2017,"[{""code"": ""P00AF00"", ""name"": ""Turbocharger Boost Control 'A' Module"", ""notes"": ""Common code with seized wastegate actuator""}]","Primarily reported on 2.0 TSI (GTI/R) engines, with symptoms pointing to throttle body or turbocharger wastegate actuator faults.",1.6,0.0,"This topic describes recurring illumination of the EPC (Electronic Power Control) warning light, often accompanied by sudden engine power loss, stuttering, or complete engine cut-off. The fault is frequently intermittent, can be cleared temporarily by restarting the vehicle, and is linked to throttle body malfunctions or turbocharger wastegate actuator seizure, particularly in early Mk7 GTIs.","[""EPC or check engine light illuminates, especially under acceleration"", ""Sudden loss of power or turbo boost, sometimes with engine stutter or cut-off""]","When buying a used Golf (especially GTI/R), check for stored fault codes related to throttle body (G186) or turbocharger boost control (P00AF00), and test drive to see if the EPC light triggers under load.",medium,32,"Data is US-market complaint heavy; engine spec is mostly unknown, but known patterns align with 2.0 TSI issues."
38,Rear coil spring fracture and suspension component failure,Coil spring fracture,suspension,safety_recall,high,medium,,,"[""2.0_TSI""]",2013-2017,"[{""code"": ""unknown"", ""name"": ""Rear coil spring assembly"", ""notes"": ""Specific VW part numbers not identified in data""}]",No clear engine-specific pattern; issue appears across multiple engine types with insufficient engine spec data.,1.2,0.0,"Multiple reports describe rear coil springs snapping completely, which can result in loss of suspension and increased accident risk. Some owners reference existing recalls for suspension issues but report difficulty obtaining information about coverage from manufacturers.","[""Snapping or cracking sound from rear suspension"", ""Vehicle sitting unevenly or sagging at rear"", ""Unusual handling or erratic driving behavior""]","Visually inspect rear coil springs for cracks, corrosion, or fractures, especially on 2013-2017 models. Check for uneven ride height and ask about any suspension-related recall work performed.",medium,25,Data dominated by NHTSA complaints (16/25) with insufficient engine specification details (96% unknown). Year distribution suggests potential cluster around 2013-2017 models.
39,Engine stalls when coming to a stop with clutch depressed or in neutral (manual transmission),Stalling at stops,engine,intermittent_fault,high,medium,,,"[""2.0_TSI"", ""TDI_unknown""]",2018-2019,[],"Reports are concentrated on 2018-2019 models, but engine-specific pattern is unclear due to high 'unknown' spec data.",1.4,0.0,"Multiple owners report the engine stalling without warning when coming to a stop, either with the clutch fully depressed or while in neutral. The stall is often described as subtle and quiet, resembling an auto start-stop function, and creates a significant safety hazard in traffic.","[""Engine shuts off quietly when braking to a stop"", ""No stall shudder or typical stalling symptoms"", ""Occurs with clutch depressed or transmission in neutral""]","Test drive the vehicle in stop-and-go traffic, paying close attention to engine behavior when coming to a complete stop with the clutch depressed. Check for any stored fault codes related to idle control or fuel delivery.",medium,29,Data is US-only (NHTSA complaints dominate) and lacks detailed mileage or engine specification information for most reports.
40,Sudden engine stalling and failure to restart while driving,Engine stalling,engine,intermittent_fault,high,medium,,,"[""unknown""]",2000-2015,[],"Engine spec is largely unknown, but one report mentions TDI, suggesting diesel variants could be affected.",1.5,0.0,"Owners report the engine suddenly cutting out while driving, often at low speeds or in traffic, with immediate loss of power and steering. The vehicle may fail to restart immediately but sometimes restarts after several hours, indicating an intermittent electrical or fuel system fault.","[""Engine suddenly dies while driving, especially at low speeds or after deceleration"", ""Vehicle fails to restart immediately after stalling, but may restart after a long cooldown period""]","Check for any stored fault codes related to fuel delivery, ignition, or crankshaft sensors. Test drive in stop-and-go traffic to monitor for unexpected stalling.",medium,31,"Source data is complaint-only (NHTSA complaints and CarProblemZoo), no TSB or recall data present. Engine spec is 97% unknown, limiting precise engine family correlation."
41,"Door lock and latch mechanism failures causing inoperative locks, automatic locking, and door handle malfunctions",Door lock failures,electrical,intermittent_fault,medium,medium,,,[],2000-2024,[],,1.5,0.0,"This topic describes failures in door lock and latch mechanisms across multiple Golf generations, with issues ranging from rear door locks becoming completely inoperative to doors automatically locking with keys inside. The problem manifests as doors failing to lock/unlock via remote or interior button, requiring manual locking via door sill slots, and door handles becoming unresponsive unless pressure is applied to the door.","[""Rear door locks stop responding to remote or interior lock button"", ""Doors automatically lock with keys in ignition or after remote unlock"", ""Door handles feel locked when doors are actually unlocked, requiring pressure on door to engage latch""]","Test all door locks multiple times with both remote and interior buttons, check for any door handle resistance or need to push on doors to make handles work, and verify doors don't automatically relock after remote unlocking.",medium,30,No engine-specific pattern identified; issue spans 2000-2024 model years with no clear mileage correlation. Data comes from owner complaints only (no TSBs or recalls).
42,"Engine check light illumination due to sensor failures (oxygen sensor, mass airflow sensor)",Check Engine Sensors,engine,sensor_fault,medium,medium,,,"[""unknown""]",2000-2010,"[{""code"": ""unknown"", ""name"": ""Oxygen Sensor (O2)"", ""notes"": ""Leaking carbon monoxide mentioned in complaint""}, {""code"": ""unknown"", ""name"": ""Mass Airflow Sensor (MAF)"", ""notes"": ""Multiple failures reported, especially on diesel models""}]",Diesel models specifically mentioned for mass airflow sensor failures causing power loss.,1.1,0.0,"This topic groups reports of the engine check light illuminating due to failures of critical engine sensors, primarily the oxygen sensor and mass airflow sensor. Symptoms include repeated check light warnings, stalling, loss of engine power, and in one case, a hazardous carbon monoxide leak from a faulty oxygen sensor.","[""Engine check light illuminates repeatedly"", ""Intermittent loss of engine power or stalling"", ""Check light returns soon after sensor replacement""]","When buying a used Golf, use an OBD-II scanner to check for stored or pending fault codes related to the oxygen sensor (P0130-P0167 series) or mass airflow sensor (P0100-P0103), and verify the check engine light is off and stays off after a test drive.",medium,22,"Data is complaint-dominated (NHTSA complaints, CarProblemZoo) with no TSB or recall documents. Engine spec is unknown for all documents, limiting engine-specific analysis. Year data suggests older vehicles (2000-2004) are prominent."
43,Intermittent engine stalling at low speed or idle in manual transmission Golf GTI/GLI,Engine stalling,engine,intermittent_fault,high,high,,low mileage (under 2k miles),"[""2.0_TSI""]",2019-2021,[],Primarily affects 2.0 TSI (EA888) engines in manual transmission (MQ350) GTI/GLI models from the 2019 model year onward.,1.3,0.0,"Reports describe an intermittent, gentle engine stall occurring when coming to a stop or while stationary, typically after the vehicle is fully warmed up. The stall happens with the clutch fully depressed or in neutral, is not accompanied by warning lights, and affects primarily 2019-2021 Golf GTI/GLI models with the 2.0 TSI engine and manual transmission.","[""Engine stalls gently when braking to a stop (5-0 mph)"", ""Engine stalls while stationary after coming to a halt"", ""Rough idle or shudder just before stalling (sometimes)""]","For used 2019+ manual GTI/GLI, test drive until fully warm and perform multiple low-speed stops; monitor for any subtle, unexpected engine shut-offs without driver error.",medium,26,"Data is US-only (NHTSA complaints, CarProblemZoo) and heavily clustered on the 2019 model year; insufficient mileage data to assess long-term pattern."
44,Violent steering wheel shaking and power steering failure at highway speeds,Steering vibration failure,suspension,safety_recall,high,medium,,,"[""2.0_TSI""]",2012-2022,[],"The 2.0_TSI (GTI/R) appears most frequently in reports, but insufficient engine data prevents definitive correlation.",1.2,0.0,"Multiple owners report sudden, violent shaking of the steering wheel and complete loss of power steering while driving at highway speeds (around 80 mph), often accompanied by multiple warning lights (ABS, steering, suspension). The issue occurs without warning and makes the vehicle difficult to control, representing a significant safety hazard.","[""Sudden, violent steering wheel vibration at highway speeds"", ""Multiple dashboard warning lights illuminating simultaneously (ABS, steering, suspension)""]","Check for any technical service bulletins or recalls related to steering components, suspension control modules, or wheel bearings, and test drive at highway speeds to monitor for steering vibration.",medium,24,Data is complaint-dominated (CarProblemZoo and NHTSA complaints) with no TSB or recall documents in this topic bundle; engine spec is unknown for 75% of reports.
45,Thermostat housing and water pump coolant leaks,Cooling system leaks,cooling,chronic_failure,high,high,,,"[""unknown""]",2002-2019,[],,0.9,0.0,"Multiple owners report recurring coolant leaks from the thermostat housing and/or water pump, often requiring expensive repairs exceeding $2,000. The issue is described as a common design flaw, with some vehicles experiencing repeat failures even after replacement.","[""Frequent low coolant warnings"", ""Visible coolant leaks under the vehicle"", ""Coolant level dropping faster than expected""]","Check for dried coolant residue around the thermostat housing and water pump, and verify the coolant level is stable and at the correct mark in the reservoir.",medium,19,"Engine spec data is insufficient; all documents are from owner complaints (NHTSA and CarProblemZoo), no TSB or recall data present."
46,Seat mechanism failures and structural creaking in rear seat area,Seat mechanism failures,other,safety_recall,high,medium,,,"[""unknown"", ""TDI_unknown""]",2001-2022,"[{""code"": ""unknown"", ""name"": ""Seat lock mechanism"", ""notes"": ""Forward/aft adjustment mechanism prone to jamming""}, {""code"": ""unknown"", ""name"": ""Rear seat cushion structural components"", ""notes"": ""Potential welding or structural defects beneath cushion""}]",,0.9,0.0,"This topic reveals two distinct seat-related issues: driver's seat forward/aft lock mechanism failures that prevent the seat from locking in position, creating a safety hazard where the seat slides during braking; and structural creaking or potential manufacturing defects in the rear seat cushion area that owners suspect may indicate improper welding or missing components. Both issues appear across multiple model years from 2001 to 2022 without clear engine-specific patterns.","[""Driver's seat slides backward when applying brake pressure"", ""Creaking sounds when pressing on rear seat cushion"", ""Seat adjustment mechanism fails to lock in position""]","Test all seat adjustment positions thoroughly, applying pressure to ensure locks engage properly, and check for unusual creaking or flexing in rear seat area during test drive.",medium,18,"Data comes exclusively from owner complaints (NHTSA and CarProblemZoo) with no technical service bulletins or recalls, suggesting these may be less common but potentially serious issues."
47,Forward Collision Warning / Automatic Emergency Braking System Malfunction,False AEB Activation,electrical,sensor_fault,high,medium,,,"[""unknown""]",2016-2022,"[{""code"": ""unknown"", ""name"": ""Bosch Radar Warning System / Forward Collision Sensor"", ""notes"": ""Mentioned in snippet as held with plastic""}]",,1.0,0.0,"The forward collision warning (FCW) and automatic emergency braking (AEB) systems are experiencing malfunctions, including both failure to activate during actual obstacles and, more commonly, false activations that trigger sudden, hard braking with no proximate cause. These false activations occur at various speeds and road conditions, creating a significant rear-end collision hazard for the driver and following traffic.","[""Sudden, unexpected hard braking with dashboard warning light"", ""Forward collision alarm activating with no visible obstacle"", ""System braking for non-threats like road patches, ice, or debris""]","When test driving, ensure the forward collision warning/automatic emergency braking system is active and note if any warning lights are present; ask the seller if they have experienced any unexpected braking events and check for any related service history.",medium,21,"Data is complaint-only (NHTSA, CarProblemZoo), no TSB or recall data included; engine specifications are unknown for all reports."
48,Fuel tank failure causing gasoline leaks during refueling and operation,Fuel tank leak,other,fluid_leak,high,medium,,,"[""2.0_TSI""]",2002-2021,"[{""code"": null, ""name"": ""Fuel tank assembly with integrated pump"", ""notes"": ""Molded pump-in-tank design mentioned in reports""}]",,0.9,0.0,"Multiple owners report catastrophic fuel tank failures where gasoline leaks profusely from the tank area, often near the right rear wheel well. The leaks occur both during refueling attempts and while driving, creating significant fire safety hazards and requiring expensive dealership repairs.","[""Strong gasoline odor from rear of vehicle"", ""Fuel leaking from passenger side rear wheel well during or after refueling"", ""Inability to accept fuel during refueling attempts""]",Check for gasoline odors around the fuel tank area and inspect the right rear wheel well for any signs of fuel residue or staining before purchase.,medium,19,Data from US market complaints only; insufficient engine specification data (94.7% unknown); spans multiple generations without clear pattern
