issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,merged_from_issue_ids,model_scope,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
blower_motor_failure,HVAC blower motor failure,Blower Motor,electrical,chronic_failure,medium,medium,[],,,Poor heater performance or weak fan speed on all settings.,,,[],,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
body_vent_seal_leak,Body vent seal water ingress into boot,Boot Water Leak,body,fluid_leak,low,high,[],,,Water leaks into the boot area through the rubber seals around the body vent holes.,Failed or degraded rubber seals,Replace or reseal vent seals,"[""Dampness or water in boot"", ""Mold smell""]",Check boot interior for signs of water ingress or moisture,1,1,"[{""video_id"": ""qV3O9yHTuD8"", ""title"": ""!! SOLVED !! The other other other VW Golf Mk7 rain water leak!! Water ingress"", ""channel"": ""Autodeutsch VAG"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
bonnet_mechanism_failure,Bonnet mechanism or cable failure,Bonnet release,body,structural,medium,medium,[],,,"Failure of the bonnet release mechanism or cable, a shared fault with the GTI.",Mechanism or cable fault,Repair or replace bonnet release mechanism/cable,"[""Difficult bonnet release"", ""Cable slack or break""]",Test bonnet release mechanism for smooth operation.,1,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Shared fault with GTI models.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""CJXC"", ""DJHA"", ""DNUE""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
carbon_buildup_tsi,Carbon buildup on intake valves,Carbon buildup,engine,chronic_failure,medium,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,"Rough idle, misfires, and loss of power due to carbon deposits on direct injection engine intake valves.",Direct injection design,Intake valve cleaning,"[""Rough idle"", ""Misfires"", ""Loss of power""]",Check for rough idle or misfire codes; consider intake inspection if high mileage.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Common issue for direct injection petrol engines.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
clogged_oil_scraper_rings,Clogged oil scraper rings causing high oil consumption,Oil Scraper Rings,engine,chronic_failure,high,high,"[""2.0_TDI""]",,,"Excessive oil consumption, sometimes as high as one liter per thousand kilometers.",Clogged oil scraper rings,Engine repair or piston ring replacement,"[""Rapid oil level drop"", ""Blue exhaust smoke""]",Check oil consumption history and for signs of blue smoke from exhaust,1,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""TDI"": 1}",1,TDI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
coolant_degradation_clogging,Coolant degradation and clogging,Coolant Clogging,cooling,chronic_failure,medium,high,"[""1.6_TDI"", ""2.0_TDI""]",,,"Coolant is dark with deposits, causing clogging of the heater core and potential overheating.",Coolant degradation and deposit formation,Flush cooling system and replace coolant,"[""Poor heater performance"", ""Overheating"", ""Discolored coolant""]",Inspect coolant color and clarity; check for overheating history,1,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""TDI"": 1}",1,TDI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
cooling_system_fluid_leak,Thermostat housing and water pump coolant leaks,Coolant leaks,cooling,fluid_leak,medium,high,"[""2.0_TSI""]",,,Coolant smell or loss with no visible external leak; coolant loss due to failing water pump.,,,"[""Coolant loss""]",Check for coolant leaks or low coolant level.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
crank_walk_1_8_tsi_manual,Crank walk in manual 1.8 TSI,Crank walk,engine,chronic_failure,high,medium,"[""1.8_TSI""]",,,"Potential catastrophic engine failure due to undersized thrust bearings allowing excessive crankshaft movement, more likely with aftermarket clutches but possible in stock cars.",Undersized thrust bearings,,"[""Excessive crankshaft movement""]",Check for abnormal crankshaft endplay; review clutch modification history.,1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,More likely with aftermarket clutches.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
dashboard_dust_cover_scratches,Dashboard dust cover scratches easily,Dashboard Scratches,body,wear_item,low,medium,[],,,Dashboard dust cover is extremely prone to scratching from physical contact.,,,[],Inspect dashboard surface for scratches and wear.,1,1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,,
direct_injection_carbon_buildup,Carbon buildup on intake valves,Carbon Buildup,engine,wear_item,medium,high,"[""all""]",,80k-120k km,"Causes bad fuel economy, rough idle, and misfires.",Direct injection design allows carbon to accumulate on intake valves.,Walnut blasting or chemical cleaning of intake valves.,"[""Rough idle"", ""Reduced power"", ""Poor fuel economy""]",Consider a borescope inspection of the intake valves if high mileage.,1,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Common issue on direct injection petrol engines.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015-2020""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015-2020""}",2015-2020,,
dpf_clogging_tdi,DPF clogging on diesel engines,DPF Clogging,exhaust,chronic_failure,medium,high,"[""1.6_TDI"", ""2.0_TDI""]",,,"Frequent regeneration requests, loss of power, and warning lights due to filter clogging, especially with short trips.",Short trip driving preventing regeneration,Forced regeneration or DPF replacement,"[""DPF warning light"", ""Reduced power"", ""Increased fuel consumption""]",Check for DPF warning lights or recent regenerations; avoid diesels for city driving.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,Common in urban use patterns.,1,,"[""diesel_only""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
dq200_mechatronic_failure,DQ200 mechatronic unit failure,DSG mechatronic failure,gearbox,chronic_failure,high,medium,"[""1.2_TSI"", ""1.4_TSI""]",,,"Transmission goes into limp mode, gear selection issues, or loss of drive due to faulty mechatronic control unit.",Mechatronic unit fault,Replace mechatronic unit or transmission repair,"[""Limp mode"", ""Gear selection issues"", ""Loss of drive""]","Test drive for harsh shifts, hesitation, or warning lights; check transmission service history.",1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Affects DQ200 7-speed dry DSG transmissions.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
dsg_gear_disengagement,DSG gear disengagement issues,DSG disengagement,gearbox,intermittent_fault,medium,medium,"[""1.8_TSI"", ""2.0_TSI""]",very early production 15,,Transmission experiences gear disengagement or shifting problems.,Transmission control or mechanical issue,Transmission software update or mechanical repair,"[""Gear disengagement"", ""Shifting problems"", ""Jerky shifts""]",Test drive for shifting issues; check for transmission software updates.,1,1,"[{""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""very early production 15"", ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015""}",2015,,
dsg_gear_selector_fault,DSG gear selector warning fault,DSG selector fault,gearbox,sensor_fault,medium,medium,"[""1.8_TSI"", ""2.0_TSI""]",,,Gear selector warning flashes on dash when moving out of park.,,,[],Test the gear selector through all positions and check for warning lights.,1,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
ea288_timing_belt_side_issues,EA288 diesel timing belt side component failures,Timing Belt Issues,engine,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",,"before 200,000 km","Strange hissing, chirping, or squeaking noises from timing belt area after cold start; coolant leak or failure; oil leak from front crankshaft seal; belt particles clogging oil strainer leading to low oil pressure.","Premature failure of timing belt tensioner, water pump seal, front crankshaft seal, or oil pump belt disintegration.","Replace timing belt and tensioner assembly, water pump, front crankshaft seal, oil pump belt, and clean oil strainer.","[""Hissing or squeaking noise on cold start"", ""Coolant leak"", ""Overheating"", ""Oil spots under car"", ""Low oil pressure warning"", ""Engine noise""]",Listen for unusual noises from timing belt cover on startup; check for coolant and oil leaks around timing belt area; inspect oil pump belt condition and oil for debris.,1,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,medium,"Consolidates premature timing belt tensioner failure, water pump failure, front crankshaft seal oil leak, and oil pump belt disintegration from the same source video.",1,,"[""diesel_only""]","{""TDI"": 1}",1,TDI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
early_turbo_failure,Early turbo prone to blowing,Turbo Failure,engine,chronic_failure,high,medium,"[""all""]",early 2015 models,,Turbocharger failure or blowing up.,Potential manufacturing or design flaw in early turbos.,Replace turbocharger assembly.,"[""Loss of boost"", ""Excessive smoke from exhaust"", ""Unusual turbo noises""]",Listen for unusual whistling or grinding noises from turbo. Check for excessive oil consumption or smoke.,1,1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Mentioned specifically for early 2015 models.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""early 2015 models"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2015""}",2015,,
egr_cooler_failure,EGR cooler failure and soot buildup,EGR Cooler Failure,exhaust,chronic_failure,medium,high,"[""1.6_TDI"", ""2.0_TDI""]",,,"Reduced performance, excessive smoke, and coolant contamination from EGR cooler leaks or soot buildup.",Soot accumulation or cooler leaks,Clean or replace EGR cooler,"[""White smoke"", ""Coolant loss"", ""Performance drop""]",Check for coolant contamination or soot in EGR system.,1,1,"[{""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2016""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2016""}",2013-2016,,
excessive_oil_consumption,Excessive oil consumption on early TSI engines,Oil Consumption,engine,chronic_failure,medium,high,"[""1.2_TSI"", ""1.4_TSI""]",made to mid-2014 plus the weakest 1.2 liter TSI made to 2017,100k km,"Engine consumes excessive amounts of oil, typically noticeable after 100,000 km or later.",Piston ring or valve stem seal issues,Engine repair or top up oil frequently,"[""Low oil between changes"", ""Blue smoke""]",Check oil level and consumption history; look for blue exhaust smoke.,1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,Affects specific production periods.,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": ""made to mid-2014 plus the weakest 1.2 liter TSI made to 2017"", ""from_llm_year_parsed"": [""2013-2017""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2017""}",2013-2017,,
front_crankshaft_seal_oil_leak,Front crankshaft seal oil leak,Crankshaft Seal Leak,engine,fluid_leak,medium,high,"[""1.6_TDI"", ""2.0_TDI""]",,,Oil leak from the front crankshaft seal on the timing belt side.,Seal failure,Replace front crankshaft seal,"[""Oil spots under car"", ""Low oil level""]",Check for oil leaks around the timing belt cover area,1,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""TDI"": 1}",1,TDI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
front_strut_top_mount_wear,Front strut top mount wear,Top Mount Wear,suspension,wear_item,low,high,[],,,"Creaking or knocking noises from the front suspension, indicating worn top mounts or bearings.",Wear and tear,Replace top mounts,"[""Creaking noise"", ""Knocking noise""]",Listen for noises when turning or going over bumps.,1,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.8_TSI"", ""2.0_TSI""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
fuel_flap_lock_sticky,Fuel filler door lock sticks,Fuel flap sticky,fuel,intermittent_fault,low,medium,"[""1.8_TSI"", ""2.0_TSI""]",,,Fuel filler door does not open correctly due to a sticky lock.,,,[],Test the fuel filler door release mechanism.,1,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
haldex_system_failure,Haldex system loses rear drive,Haldex Failure,other,chronic_failure,high,high,[],,,Front wheels spin under acceleration with no power to the rear wheels.,Haldex system failure,Service or replace Haldex unit,"[""Loss of traction"", ""Front wheel spin""]",Test AWD system on slippery surface.,1,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.8_TSI"", ""2.0_TSI""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
ignition_coil_pack_failure,Ignition coil pack failure,Coil pack failure,engine,intermittent_fault,medium,high,"[""2.0_TSI""]",,,"Misfire codes (P0300-P0304), poor running, or rough idle.",,,"[""Misfire codes"", ""Rough idle"", ""Poor running""]",Check for stored misfire codes and engine running quality.,1,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
ignition_coils_stuck,Ignition coils stuck in place,Stuck coils,engine,wear_item,low,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,"Ignition coils become seized in the cylinder head, often breaking during removal for spark plug service.",,,"[""Difficulty removing coils"", ""Coils breaking""]",Check service history for coil replacement; attempt gentle coil removal if possible.,1,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
mib_module_failure,MIB/5F infotainment module failure,Infotainment failure,electrical,chronic_failure,medium,medium,[],,,"Infotainment system module fails, leading to expensive repairs.",Module hardware or software fault,Replace or reprogram MIB/5F module,"[""Infotainment blackout"", ""System crashes"", ""Loss of functions""]",Test all infotainment functions; check for error messages or reboots.,1,1,"[{""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2015""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2015""}",2015,"[""1.8_TSI"", ""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
modern_reliability_decline,Modern reliability decline due to emissions systems,Reliability decline,other,chronic_failure,medium,medium,[],,,"The car is not as reliable as older generations like the Mk4, largely due to added emissions systems.",Increased complexity of modern emissions control systems.,Regular maintenance and proactive replacement of emissions-related components.,"[""Frequent warning lights"", ""Reduced performance""]","Review full service history, pay attention to any emissions-related fault codes.",1,1,"[{""video_id"": ""0mbw1oDtRC0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.6_TDI"", ""1.8_TSI"", ""2.0_TDI"", ""2.0_TSI""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
oil_pump_belt_disintegration,Oil pump belt disintegration clogging oil strainer,Oil Pump Belt,engine,chronic_failure,high,high,"[""1.6_TDI"", ""2.0_TDI""]",,,"Belt particles clog the oil strainer, leading to lower oil pressure.",Belt disintegration,Replace oil pump belt and clean oil strainer,"[""Low oil pressure warning"", ""Engine noise""]",Inspect oil pump belt condition during service; check for debris in oil,1,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic"", ""trim"": ""TDI""}]",youtube,medium,,1,,"[""all_vw_golf_mk7""]","{""TDI"": 1}",1,TDI,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
