issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,source_video_id,source_title,source_bucket
paint_scratches_mud_flaps,Paint scratching from OEM mud flaps,Mud flap scratches,body,wear_item,low,high,"[""all""]",2005-2024,,Scratches on paint near mud flap mounting points,"Mud flaps rubbing against paint, especially when dirty","Remove or replace mud flaps, touch up paint","[""Paint wear around flaps"", ""Debris behind flaps""]",Look for paint damage around mud flap areas,1.0,"[{""video_id"": ""E-vn6KEqaJk"", ""title"": ""THE SECRET TO KEEP A VW RUST FREE (Cleaning the Fender Liners on a MK7 Golf)"", ""bucket"": ""common_faults""}]",youtube,high,OEM mud flaps criticized for causing damage,,,
fuel_neck_dirt_buildup,Dirt buildup behind fuel neck area,Fuel neck debris,fuel,other,low,medium,"[""all""]",2005-2024,,Dirt accumulation behind fuel filler neck,Debris collecting in cavity around fuel neck,Clean out debris during fender liner maintenance,"[""Visible dirt around fuel neck"", ""Surface rust in area""]",Check behind fuel neck for dirt buildup,1.0,"[{""video_id"": ""E-vn6KEqaJk"", ""title"": ""THE SECRET TO KEEP A VW RUST FREE (Cleaning the Fender Liners on a MK7 Golf)"", ""bucket"": ""common_faults""}]",youtube,medium,Minor issue but can promote rust if ignored,,,
sunroof_leak_squeak_crack,"Sunroof leaks, squeaks, squeals, and can crack roof",Sunroof faults,body,structural,medium,high,"[""all""]",,,"Water leaks, noise, and roof panel cracking",Sunroof mechanism movement and seal issues,,"[""Water stains"", ""Squeaking noises"", ""Visible cracks""]",Check for water damage and operate sunroof fully; avoid cars with sunroof if possible,1.0,"[{""video_id"": ""PwzmaKYijOc"", ""title"": ""Volkswagen MK7 Golf GTI Buyer's Guide - Models, Engines, & Options"", ""bucket"": ""common_faults""}]",youtube,high,Specifically mentioned for S models with sunroof; advice is to 'stay away from the sunroof if you can',,,
carbon_buildup_intake,Carbon buildup on intake valves causing misfire,Carbon buildup,engine,chronic_failure,medium,high,"[""all""]",,,"Misfire, especially on cold startup; check engine light",Direct injection design leads to carbon accumulation,Carbon cleaning service,"[""Misfire on cold startup""]","Check if carbon cleaning has been performed, especially at 80k-100k miles",1.0,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""bucket"": ""reviews""}]",youtube,high,Owner experienced misfire and check engine light after 4 years; budgets for cleaning,,,
water_pump_leak,Water pump leaking,Water pump leak,cooling,fluid_leak,medium,high,"[""all""]",,,Coolant leak,,,[],Check if water pump has been replaced or is leaking,1.0,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""bucket"": ""reviews""}]",youtube,high,Mentioned as a common issue to check before purchase,,,
dsg_fluid_service_required,DSG transmission fluid requires periodic draining,DSG fluid service,gearbox,wear_item,medium,high,"[""1.2_TSI"", ""1.4_TSI""]",,,Transmission may malfunction if fluid not changed,,Drain and replace DSG fluid periodically,[],Check DSG service history,1.0,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""bucket"": ""reviews""}]",youtube,high,Applies to DSG transmission models; owner has manual so not affected,,,
clutch_slip_low_torque,Clutch slip due to low-end torque,Clutch slip,gearbox,wear_item,medium,medium,"[""all""]",,,"Clutch slipping, especially under low-end torque",Low-end torque and clutch material,Clutch replacement,[],Check clutch condition during test drive,1.0,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""bucket"": ""reviews""}]",youtube,medium,Owner mentions clutch is 'made of paper' and low-end torque causes slip,,,
cable_shifter_feel,Cable shifter lacks mechanical feel and stiffness,Shifter feel,gearbox,other,low,high,"[""all""]",,,Shifter feels less stiff and not as mechanical,Cable shifter design vs mechanical linkage,Aftermarket short shifter or bushing upgrades,[],,1.0,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""bucket"": ""reviews""}]",youtube,high,Owner installed short shifter and bushings to improve feel,,,
rev_hang_dual_mass_flywheel,Rev hang due to dual mass flywheel,Rev hang,engine,other,low,medium,"[""all""]",,,Rev hang hinders smooth shifting between gears,Dual mass flywheel design,Replace with single mass flywheel during clutch job,[],,1.0,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""bucket"": ""reviews""}]",youtube,medium,Owner notes rev hang is severe but manageable,,,
fuel_line_rattle,Fuel line rattle at idle and specific RPMs,Fuel line rattle,fuel,noise,low,high,"[""all""]",,,"Audible rattle from fuel lines on passenger side, especially at idle, 1000 RPM, and 2000 RPM during acceleration and deceleration",Loose fuel lines or insufficient securing fasteners,Dealer may add foam to tighten tolerances; owner suggests using zip ties,"[""Rattling noise from dashboard/passenger side"", ""Noise persists with radio on""]",Listen for rattles at idle and during acceleration,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,Dealer claimed it was within tolerance and normal for factory build,,,
vague_clutch_feel,Vague and inconsistent clutch pedal feel,Vague clutch,gearbox,intermittent_fault,medium,high,"[""all""]",,,Clutch feels different every day; no consistent feedback,Typical German design characteristic; may be exacerbated by cold weather,,"[""Inconsistent clutch engagement"", ""Poor feel in cold weather""]",Test drive in various temperatures to assess clutch feel,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,Owner describes it as very German and vague,,,
cold_weather_shifting_issues,Difficult shifting in cold weather,Cold shifting,gearbox,intermittent_fault,medium,high,"[""all""]",,,Shifting feels like dragging through molasses when cold; persists even after warm-up,Cold weather affecting transmission fluid or synchros,,"[""Stiff shifter in cold mornings"", ""Difficulty engaging gears""]",Test drive in cold conditions to check shifting smoothness,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,Common in manuals but particularly bad in this car,,,
gear_pop_out,Intermittent gear pop-out or rejection,Gear pop-out,gearbox,intermittent_fault,high,high,"[""all""]",,,"Gear pops out to neutral, especially from first; third gear may be rejected during shifts",Possible shifter misalignment; previous owner may have modified short shifter without proper adjustment,Investigate and adjust shifter linkage alignment,"[""Gear not staying engaged"", ""Difficulty shifting into specific gears""]",Check for aftermarket modifications and test all gears repeatedly,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,"Occurred at 18,000 miles; may be due to prior modification",,,
handbrake_cable_stretch,Handbrake cable stretched causing lever to pop up,Handbrake cable,brakes,wear_item,medium,high,"[""all""]",,,Handbrake lever pops up while driving; warning light activates,"Stretched handbrake cables, possibly from aggressive use (e.g., handbrake turns)",Cables tightened under warranty,"[""Handbrake not staying down"", ""Warning light for handbrake while driving""]",Test handbrake engagement and check for slack in cables,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,Fixed under warranty; occurred shortly after purchase of CPO vehicle,,,
engine_movement_firewall_contact,Excessive engine movement leading to firewall contact,Engine movement,engine,structural,high,high,"[""all""]",,,"Engine rocks excessively during aggressive shifts, potentially hitting firewall",Insufficient engine and transmission mounts; exacerbated by rev hang and quick shifting,Aftermarket dogbone mount or engine mounts to stiffen movement,"[""Engine noise during hard shifts"", ""Feeling of engine rocking""]",Check engine mounts for wear; test drive with aggressive shifts,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,Common fix includes dogbone mount from companies like ECS Tuning or Unitronic,,,
sun_visor_clip_breakage,Sun visor clip breakage,Sun visor clip,body,wear_item,low,high,"[""all""]",,,Sun visor clip broken,,Repaired under warranty,"[""Sun visor not staying in place"", ""Visible damage to clip""]",Check sun visor operation and clip integrity,1.0,"[{""video_id"": ""JOaWTEIZEgQ"", ""title"": ""Mk7 VW Golf Gti Ownership Review - How Does It Hold Up As A Daily?"", ""bucket"": ""reviews""}]",youtube,high,Fixed under warranty; mentioned as a minor issue,,,
electronics_computer_problems,Electronics and computer system faults,Electrical faults,electrical,intermittent_fault,medium,high,"[""all""]",,,Various electrical gremlins,,,"[""Warning lights"", ""Erratic behavior""]",Scan for fault codes,1.0,"[{""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review."", ""bucket"": ""reviews""}]",youtube,high,Better than older models but still problematic,,,
interior_grab_handle_squeak,Interior grab handle squeak,Handle squeak,body,noise,low,high,"[""all""]",,,Squeaky noise from grab handle,,,"[""Squeaking when handle used""]",Test interior handles for noises,1.0,"[{""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review."", ""bucket"": ""reviews""}]",youtube,high,Minor annoyance mentioned,,,
engine_catastrophic_failure,Engine imploding or catastrophic failure,Engine failure,engine,chronic_failure,high,medium,"[""1.4_TSI"", ""2.0_TSI""]",,,Complete engine breakdown,,Engine rebuild or replacement,"[""Severe knocking"", ""Loss of oil pressure""]",Ensure thorough pre-purchase inspection including compression test,1.0,"[{""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review."", ""bucket"": ""reviews""}]",youtube,medium,"Horror stories mentioned, becoming almost common",,,
dsg_oil_change_required,"DSG transmission oil needs replacement after 40,000 miles",DSG oil change,gearbox,wear_item,medium,high,"[""all""]",null,"~64,000 km",Potential transmission wear or failure if not serviced,Regular maintenance requirement,Replace DSG transmission oil,"[""Unspecified transmission issues""]","Check service history for DSG oil changes at 40,000-mile intervals",,,,,Mentioned specifically for DSG transmissions,W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
haldex_service_required,Haldex all-wheel drive system requires service every 3 years,Haldex service,other,wear_item,medium,high,"[""all""]",null,null,Potential AWD system malfunction if not serviced,Regular maintenance requirement,Service Haldex system every 3 years,"[""Reduced AWD performance""]",Verify Haldex service history every 3 years,,,,,Can be done at VW dealer or specialist; oil change possible,W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
manual_clutch_wear,Manual clutch can be damaged by poor driving,Clutch wear,gearbox,wear_item,medium,high,"[""all""]",null,null,Clutch slippage or failure,Aggressive or poor driving,Clutch replacement with updated version (post-June 2018),"[""Clutch slippage"", ""Difficulty shifting""]",Test drive for clutch engagement and feel; check for updated clutch if replaced,,,,,Updated clutch version available from June 2018 for improved protection,W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
expensive_led_headlights,LED headlight clusters can be expensive to replace,Expensive LED lights,electrical,other,low,medium,"[""all""]",null,null,High replacement cost if damaged,null,Replacement of LED cluster,"[""Damaged headlight housing""]",Inspect headlights for cracks or damage; consider repair costs,,,,,"Mentioned as something heard, not directly experienced",W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
keyless_entry_security_risk,Keyless entry system poses security risk to hacking,Keyless security risk,electrical,other,medium,medium,"[""all""]",null,null,Potential vehicle theft via signal relay,Keyless entry technology vulnerability,Opt for car without keyless entry or use signal-blocking pouch,"[""Unauthorized access attempts""]",Consider cars without keyless entry for improved security,,,,,Presenter recommends avoiding keyless entry option,W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
air_conditioning_recharge_needed,Air conditioning refrigerant may need recharge after long period,A/C recharge,cooling,wear_item,low,high,"[""all""]",null,null,Reduced cooling performance,Refrigerant depletion over time,Recharge A/C system,"[""Weak A/C cooling""]",Test A/C function during purchase inspection,,,,,Presenter recharged after 8 years,W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
high_rpm_motorway_noise_manual,Manual gearbox has high RPM at motorway speeds causing noise,High RPM noise,gearbox,noise,low,high,"[""all""]",null,null,Increased engine noise at 70 mph (~2800 RPM),Short gearing in manual transmission,"Drive at lower speeds (e.g., 60 mph) for reduced noise","[""Excessive engine drone on highway""]",Test drive on highway to assess noise levels,,,,,Specific to manual transmission; DSG has lower RPM,W1LG0o3K554,"Used Volkswagen Golf R (Mk7, 2014-2020) Buyer’s Guide",reviews
sunroof_problems,Sunroof can be problematic in many cars,Sunroof issues,body,intermittent_fault,medium,medium,"[""all""]",null,null,Sunroof malfunctions or leaks,null,null,"[""Sunroof not operating smoothly"", ""Water leaks""]",Check sunroof operation and seals when buying used,,,,,Mentioned as a reason to avoid optional sunroof,XDUXPIOdOWw,The Crazy Reason Nobody Bought One Of VW's Best Cars: The Golf GTI Mk7.5,reviews
steering_feel_dcc_impact,DCC adaptive dampers can reduce steering feel,Steering feel degradation,suspension,intermittent_fault,low,medium,"[""all""]",null,null,Steering feel not as good as expected,Dynamic Chassis Control (DCC) adaptive dampers,Avoid DCC option if steering feel is a priority,"[""Numb steering feedback""]",Test drive with and without DCC to compare steering feel,,,,,Mentioned as a reason buyer avoided DCC option,XDUXPIOdOWw,The Crazy Reason Nobody Bought One Of VW's Best Cars: The Golf GTI Mk7.5,reviews
turbo_lag,Engine has some turbo lag,Turbo lag,engine,wear_item,low,high,"[""2.0_TSI""]",null,null,Delayed power delivery from turbo,null,null,"[""Throttle response delay""]",Test acceleration from low RPM,,,,,Mentioned in driving impressions of the GTI,XDUXPIOdOWw,The Crazy Reason Nobody Bought One Of VW's Best Cars: The Golf GTI Mk7.5,reviews
torque_steer,Torque steer under certain conditions,Torque steer,suspension,intermittent_fault,low,medium,"[""2.0_TSI""]",null,null,Steering pull under hard acceleration,Front-wheel drive with high torque,null,"[""Steering wheel tug during acceleration""]",Test acceleration in wet conditions,,,,,"Owner reported issues, but reviewer did not experience it during dry test",XDUXPIOdOWw,The Crazy Reason Nobody Bought One Of VW's Best Cars: The Golf GTI Mk7.5,reviews
golf_r_abuse_history,Used Golf R models often have hidden issues or poor history,Abused Golf R,other,structural,high,high,"[""2.0_TSI""]",null,null,"Poor condition, salvage history, hidden mechanical problems",Aggressive marketing leading to ownership by drivers who abuse performance,Thorough pre-purchase inspections and history checks,"[""Salvage title"", ""Poor maintenance records"", ""Visible wear inconsistent with mileage""]","Use services like Car Vertical for history checks, inspect thoroughly",,,,,Mentioned as a reason buyer chose a GTI over an R,XDUXPIOdOWw,The Crazy Reason Nobody Bought One Of VW's Best Cars: The Golf GTI Mk7.5,reviews
boot_handle_water_ingress,Boot handle water collection and drainage failure,Boot handle leak,body,fluid_leak,medium,high,"[""all""]",,,Water fills up in the boot,Deteriorating grommet in boot handle drainage hole,Replace grommet or clear drainage,"[""Water in boot"", ""Damp boot interior""]",Check boot for water damage and drainage hole condition,,,,,Easy fix but disappointing,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
bonnet_release_cable_failure,Bonnet release cable and handle deterioration,Bonnet release failure,body,wear_item,medium,high,"[""all""]",,,Bonnet release mechanism fails,Deterioration of cable and handle,Replace cable and handle,"[""Stiff bonnet release"", ""Handle breaking""]",Test bonnet release operation,,,,,Annoying and difficult to fix,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
sunroof_rain_gutter_cracking,Sunroof plastic rain gutters cracking,Sunroof leak,body,fluid_leak,high,high,"[""all""]",pre-2017,,Water leaks into car through sunroof,Cracked plastic rain gutters,"Replace gutters, requiring roof lining removal","[""Water stains on headliner"", ""Damp interior""]",Check sunroof area for leaks and cracks if equipped,,,,,"Fixed on later models, but early Mk7 with sunroofs affected",uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
door_water_leak_speaker_grille,Water leaking into door cavities and footwells,Door water leak,body,fluid_leak,medium,high,"[""all""]",,,"Water comes out through speaker grille, filling footwell",Blocked or faulty door drainage,Clear door drainage holes,"[""Wet footwells"", ""Water from speaker area""]",Check door bottoms and footwells for moisture,,,,,Easily fixed but disappointing,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
door_lock_random_operation,Door locks locking and unlocking sporadically,Door lock fault,electrical,intermittent_fault,medium,medium,"[""all""]",,,Locks operate randomly on their own,,,"[""Random lock/unlock sounds"", ""Inconsistent locking""]",Test door locks multiple times,,,,,Reported issue but not universal,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
gauge_cluster_failure,Gauge cluster lighting or complete failure,Gauge cluster fault,electrical,intermittent_fault,high,medium,"[""all""]",,,Gauge lights turn on/off or cluster fails entirely,,,"[""Flickering gauges"", ""Cluster going blank""]",Check all instrument cluster functions during test drive,,,,,Reported issue but not universal,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
infotainment_system_failure,Entire infotainment system failure,Infotainment failure,electrical,intermittent_fault,medium,high,"[""all""]",,,Infotainment screen/system stops working,,,"[""Black screen"", ""Unresponsive controls""]",Test all infotainment functions thoroughly,,,,,Many reports mentioned,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
water_pump_premature_failure,"Water pump failing early (around 40,000-60,000 km)",Water pump failure,cooling,chronic_failure,high,high,"[""1.4_TSI"", ""2.0_TSI""]",,40k-60k km,Coolant leaks or overheating,Premature wear or design flaw,"Replace water pump, possibly with non-genuine part","[""Coolant loss"", ""Overheating warning""]",Check service history for replacement and coolant levels,,,,,Non-genuine parts may last longer than genuine,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
dsg_transmission_problems,DSG gearbox clunkiness and hesitation,DSG issues,gearbox,chronic_failure,medium,high,"[""1.4_TSI"", ""2.0_TSI""]",,,"Clunky, jittery shifts, especially at low speeds",DSG mechatronics or clutch wear,DSG service or repair,"[""Hesitation when pulling away"", ""Rough gear changes""]",Test drive in town for low-speed gearbox behavior,,,,,Later models have fewer problems but still occur,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
turbo_problems,Turbocharger failures,Turbo failure,engine,chronic_failure,high,high,"[""1.4_TSI"", ""2.0_TSI""]",,,"Loss of power, unusual noises",,Turbo replacement,"[""Whining noises"", ""Reduced boost""]",Check for turbo-related fault codes and performance,,,,,Common issue mentioned,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
inlet_track_problems,Inlet track issues,Inlet track fault,engine,other,medium,medium,"[""1.4_TSI"", ""2.0_TSI""]",,,,,,[],,,,,,Mentioned as a problem area,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
injector_problems,Fuel injector failures,Injector failure,fuel,chronic_failure,high,high,"[""1.4_TSI"", ""2.0_TSI""]",,,"Misfires, rough running, poor fuel economy",,Injector replacement,"[""Engine misfire codes"", ""Rough idle""]",Check for injector-related fault codes,,,,,Mentioned as a common problem,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
engine_bay_plastics_fragility,Feeble engine bay plastics that don't last,Engine bay plastics,engine,wear_item,low,high,"[""all""]",,,Cracking or breaking plastic components,Poor material quality,Replace with aftermarket or genuine parts,"[""Visible cracks"", ""Broken clips""]",Inspect engine bay for broken or mismatched plastics,,,,,General durability issue,uWlJroGaFS0,"Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.",reviews
