issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,engine_year_context,video_type_category
low_profile_tyre_pothole_impact,low profile tyre pothole impact,suspension,[],,Drivers experience a harsh 'bang' and discomfort when hitting potholes with low-profile tyres on standard 18” Nogaro alloys.,"Low-profile tyres on large alloy wheels reduce sidewall flexibility, transmitting more impact force from road imperfections.",Switch to tyres with higher sidewalls or smaller wheels to improve ride comfort and reduce impact damage risk.,high,high,"[{""video_id"": ""0KBFyZcZ_Cc"", ""title"": ""VW Golf GTD Review - after 8 years is it still any good?"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}]",18,5,"[""tyre"", ""pothole"", ""wear"", ""hit"", ""wheels"", ""ive"", ""70000 miles"", ""nogaro alloys"", ""road noise"", ""nogaro""]",youtube,1,1,1,,
plastic_oil_pan_plug_leak,plastic oil pan and plug leaks,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,"Oil leaks from the oil pan area, potentially requiring pan replacement.",Plastic oil pan and drain plug deteriorate with heat cycling; plastic plug must not be reused.,Replace plastic drain plug after every oil change; replace oil pan if leaking.,medium,medium,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",22,4,"[""plastic"", ""reused"", ""pan"", ""plug"", ""oil"", ""owners"", ""pans"", ""oil pans"", ""edge"", ""report need""]",youtube,1,1,1,,
ignition_coil_misfire_codes,Ignition coil pack failure causing misfires,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,Engine misfire detected with fault codes P0300-P0304 indicating cylinder-specific or multiple cylinder misfires.,Ignition coil pack failure,Replace faulty ignition coil(s) and potentially spark plugs,high,high,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)"", ""channel"": ""The Miles Driven"", ""video_type_category"": ""list_format""}]",23,4,"[""code"", ""cylinder"", ""number"", ""detected"", ""multiple"", ""ignition coil"", ""equipment"", ""codes"", ""signs"", ""zero""]",youtube,1,1,1,"[{""engine"": ""2.0_TSI"", ""years"": ""2013-2020"", ""evidence_hits"": 1}]",
key_fob_battery_failure,"Key fob battery dead, car won't open/start",electrical,[],,"The car won't open or start due to a dead key fob battery, often after ignoring a low battery warning.",Depleted key fob battery.,Replace the key fob battery.,high,medium,"[{""video_id"": ""wIKS8wlgu9I"", ""title"": ""VW Golf GTD - hidden features and ONE that could get you out of trouble!"", ""channel"": ""Mike Reports"", ""video_type_category"": ""organic""}]",38,3,"[""battery"", ""wont"", ""key"", ""low"", ""fob battery"", ""golf just"", ""warning"", ""key fob"", ""fob"", ""dead""]",youtube,1,1,1,,
thermostat_water_pump_leak,Thermostat water pump assembly leak,cooling,"[""1.8_TSI"", ""2.0_TSI""]",,"Coolant smell from under the hood, indicating a likely leak from the assembly under the intake manifold.",,,,,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
oil_cap_seal_leak,Oil cap seal leak,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Oil mist or residue around the oil cap, indicating a poor seal that can spray oil under certain conditions.",,,,,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
ignition_coil_failure,Ignition coil failure,engine,"[""1.8_TSI"", ""2.0_TSI""]",,"Original ignition coils may need replacement, potentially causing running issues if not updated.",,,,,"[{""video_id"": ""zoSbJVeqdnQ"", ""title"": ""Finding Problems on a Used MK7 | Inspection Video"", ""channel"": ""Deutsche Auto Parts"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
clogged_oil_scraper_rings,Clogged oil scraper rings,engine,"[""2.0_TDI""]",,"Excessive oil consumption, up to 1 liter per 1000 km.",,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
water_pump_cover_stuck_closed,Water pump cover stuck closed,cooling,"[""1.6_TDI"", ""2.0_TDI""]",,Engine overheating due to coolant not circulating.,,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
coolant_degradation_clogging,Coolant degradation and clogging,cooling,"[""1.6_TDI"", ""2.0_TDI""]",,Overheating issues and clogged heater core from degraded coolant.,,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
timing_belt_tensioner_failure,Premature timing belt tensioner failure,engine,"[""1.6_TDI"", ""2.0_TDI""]",,"Strange hissing, chirping, or squeaking noises from timing belt area after cold start.",,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
water_pump_premature_failure,Premature water pump failure,cooling,"[""1.6_TDI"", ""2.0_TDI""]",,"Coolant leaks or noises from the water pump before 200,000 km.",,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
oil_pump_belt_disintegration,Oil pump belt disintegration,engine,"[""1.6_TDI"", ""2.0_TDI""]",,Lower oil pressure due to belt particles clogging the oil strainer.,,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
front_crankshaft_seal_leak,Front crankshaft seal oil leak,engine,"[""1.6_TDI"", ""2.0_TDI""]",,Oil leak from the front crankshaft seal on the timing belt side.,,,,,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
excessive_oil_consumption_1_2_1_4_tsi,Excessive oil consumption,engine,"[""1.2_TSI"", ""1.4_TSI""]",made to mid-2014 plus the weakest 1.2 liter TSI made to 2017,"Engine consumes excessive amounts of oil, typically appearing after 100,000 km or later.",,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}]",organic
crank_walk_1_8_tsi_manual,Crank walk in manual 1.8 TSI,engine,"[""1.8_TSI""]",,Potential catastrophic engine failure due to undersized thrust bearings allowing crankshaft movement.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
timing_cover_oil_leak_1_8_tsi,Oil leak from upper timing cover,engine,"[""1.8_TSI""]",,Oil leak originating from the upper timing chain cover.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
plastic_oil_pan_concern_1_8_tsi,Plastic oil pan aging concern,engine,"[""1.8_TSI""]",,Potential for future oil leaks as the plastic oil pan ages and becomes brittle.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
turbo_wastegate_actuator_failure,Turbo wastegate actuator failure,engine,"[""1.2_TSI"", ""1.4_TSI""]",,Loss of turbocharger boost pressure or related fault codes due to a failed wastegate actuator.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}]",organic
stuck_ignition_coils,Ignition coils stuck in place,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,Ignition coils become seized and can break during removal for spark plug service.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}]",organic
vacuum_leaks_aging_hoses_pcv,Vacuum leaks from aging hoses/PCV,engine,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI""]",oldest or higher mileage cars,Unstable idle or performance issues due to cracked vacuum hoses or a faulty PCV valve.,,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}]",organic
timing_chain_tensioner_wear_1_8_tsi,Timing chain tensioner wear,engine,"[""1.8_TSI""]",,"Rattling noise at cold start, indicating potential excessive wear or extension of the timing chain tensioner.",,,,,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020"", ""channel"": ""different car review"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
fuel_filler_cap_stuck,Fuel filler cap stuck closed,body,[],,"The fuel filler cap gets stuck closed, sometimes due to actuator issues or plastic binding.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
mirror_glass_detachment,Side mirror glass falls out,body,[],,"The glass of the side mirror can come loose, vibrate, and eventually fall out.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
badge_boot_release_failure,Integrated badge boot release fails,body,[],,The integrated Volkswagen badge boot release can completely fail.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
rear_door_seal_detachment,Lower rear door seal comes loose,body,[],,The seal on the front part of the lower rear door can come loose.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
sunroof_trim_cracking,Sunroof plastic trim cracks,body,[],,The plastic trim piece around the sunroof can crack at the front corners.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
sunroof_frame_cracking,Sunroof internal frame cracks,body,[],,"The internal plastic frame of the sunroof can crack and split, allowing water ingress.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
rear_speaker_housing_leak,Rear door speaker housing leaks,body,[],,"The plastic speaker housing seals in the rear doors fail, leaking water into the door jam and rear foot wells.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
front_speaker_housing_leak,Front door speaker housing leaks,body,[],,The front door speaker housings are starting to leak on some cars.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
rear_bumper_fence_leak,Rear bumper plastic fence leaks,body,[],,The rear side plastic fence behind the bumper can leak into the boot and spare tire area.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
rear_badge_drain_tube_disconnect,Rear badge drain tube dislodges,body,[],,"The rear badge drain tube can dislodge, causing water leaks into the boot.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
tail_light_seal_leak,Tail light seals leak,body,[],,The tail light seals can leak water.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
third_brake_light_leak,Third brake light leaks,body,[],,The third brake light can leak water.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
boot_wiring_loom_leak,Boot lid wiring loom leaks,body,[],,The boot lid wiring loom tube connectors can leak.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
ac_drain_leak,Air conditioning drain leaks,cooling,[],,The air conditioning drain can leak into the cabin.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
rear_washer_pipe_leak,Rear screen washer pipe leaks,body,[],,The rear screen washer pipe can leak into the front left foot well.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
windshield_washer_drone_blockage,Windshield washer drones block,body,[],,"The windshield washer drones need to be cleared, otherwise water builds up and leaks into the cabin.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
sunroof_drain_tube_blockage,Sunroof drainage tubes block,body,[],,"The sunroof drainage tubes, especially the front ones on hatchbacks, have a habit of blocking easily.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
water_induced_electrical_faults,Water ingress causes electrical faults,electrical,[],,"Water leaks can find their way into the car's electronics, causing various electrical faults like power mirrors, windows, or lights malfunctioning.",,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
general_electrical_gremlins,Renowned for electronic gremlins,electrical,[],,The cars are renowned for electronics doing weird things independently of water damage.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
mk7_paint_durability,Mark 7 paint less resilient,body,[],,The paint on the Mark 7 is reportedly nowhere near as resilient as the paint on the Mark 6.,,,,,"[{""video_id"": ""igRBrdqctV4"", ""title"": ""Everything that goes WRONG with a USED Volkswagen Golf (MK7/7.5)"", ""channel"": ""ReDriven"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,,organic
dpf_clogging_risk,DPF clogging from short trips,exhaust,"[""2.0_TDI""]",,The diesel particulate filter can clog if the engine is not properly warmed up through regular longer drives.,,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
intake_carbon_buildup,Carbon buildup on intake,engine,"[""2.0_TDI""]",,"Carbon deposits accumulate on the intake valves due to direct injection and pollution control systems, potentially requiring cleaning.",,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
fuel_injector_deterioration,Aging high-pressure fuel injectors,fuel,"[""2.0_TDI""]",,"Injectors deteriorate with age and high mileage, leading to power loss or rough running.",,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
water_pump_failure,Variable flow water pump failure,cooling,"[""2.0_TDI""]",,"The water pump can fail at higher mileages, causing abnormal noises, vibrations, or erratic coolant temperatures.",,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
egr_cooler_clogging,EGR cooler clogging,exhaust,"[""2.0_TDI""]",,"The EGR cooler can clog up at high mileage, causing rough running, warning lights, and error codes.",,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
turbocharger_wear,Turbocharger wear at high mileage,engine,"[""2.0_TDI""]",,"The turbocharger typically shows wear and may need replacement around 150,000 miles.",,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
dual_mass_flywheel_failure,Dual mass flywheel failure,gearbox,"[""2.0_TDI""]",,"The dual mass flywheel can fail at very high mileage (200k+ miles), causing noises and vibration from the transmission.",,,,,"[{""video_id"": ""TgPQe12d_sw"", ""title"": ""VW 2.0 TDi (2012 on) EA288 Did They Avoid Those Common Problems & All You Need To Know"", ""channel"": ""TorqueCars"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""2.0_TDI"", ""years"": ""2012"", ""evidence_hits"": 1}]",list_format
kangaroo_effect,Kangaroo effect on manual gearbox,engine,"[""1.5_TSI""]",from the very beginning of its life and up to model year 2024,Engine may suddenly lower RPMs and nearly stall when starting in first gear with a manual transmission.,,,,,"[{""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.5_TSI"", ""years"": ""2014-2024"", ""evidence_hits"": 6}]",list_format
low_octane_fuel_knocking,Knocking with low octane fuel,fuel,"[""1.5_TSI""]",,Using fuel with an octane rating lower than 95 may cause slight knocking and loss of power.,,,,,"[{""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.5_TSI"", ""years"": ""2014-2024"", ""evidence_hits"": 6}]",list_format
variable_geometry_turbo_failure,Variable geometry turbocharger failure,engine,"[""1.5_TSI""]",,The variable geometry turbocharger can fail and require replacement.,,,,,"[{""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.5_TSI"", ""years"": ""2014-2024"", ""evidence_hits"": 6}]",list_format
high_mileage_oil_consumption,High mileage oil consumption,engine,"[""1.5_TSI""]",,"Engine consumes oil after hitting approximately 100,000 miles or 150,000 kilometers.",,,,,"[{""video_id"": ""ex_jlHto57E"", ""title"": ""Volkswagen’s 1.5 TSI engine: Common problems and advantages"", ""channel"": ""Dmitry Sapko"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,"[{""engine"": ""1.5_TSI"", ""years"": ""2014-2024"", ""evidence_hits"": 6}]",list_format
coolant_leak_thermostat_water_pump,Coolant leak thermostat/water pump,cooling,"[""2.0_TSI""]",,"Coolant fluid visible under the car, likely from leaking thermostat housing or water pump.",,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
rear_footwell_water_ingress,Rear footwell water ingress,body,"[""2.0_TSI""]",,Damp or wet rear passenger footwells due to failing speaker seals.,,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
manual_clutch_slip,Manual clutch slip/failure,gearbox,"[""2.0_TSI""]",,"Clutch slips or shreds, even with standard power, requiring replacement.",,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
dsg_gear_selector_issue,DSG gear selector issue,gearbox,"[""2.0_TSI""]",,Gear selector fault flashes on dash when moving out of park.,,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
haldex_system_failure,Haldex system failure,other,"[""2.0_TSI""]",,"Loss of rear-wheel drive, front wheels spin without rear assistance, especially in wet conditions.",,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
front_top_mount_wear,Front top mount wear,suspension,"[""2.0_TSI""]",,Worn front top mounts or top mount bearings causing creaking or knocking noises.,,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
fuel_flap_lock_sticky,Fuel flap lock sticky,body,"[""2.0_TSI""]",,"Fuel flap lock is sticky and may not open correctly, requiring lubrication or new actuator.",,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
prets_wheel_cracking,Prets wheel cracking/buckling,body,"[""2.0_TSI""]",,Standard 19-inch Prets wheels are susceptible to cracking or buckling.,,,,,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""list_format""}]",enum_augment,1,[],youtube,1,1,1,,list_format
