issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,source_videos,source,data_quality,notes,merged_from_issue_ids,engine_year_context,model_scope,affected_years_evidence,affected_years_triangulated,affected_engines_original,_scope_notes
airbag_tensioner_recall,Airbag and seatbelt tensioner recall,Airbag Tensioner Recall,body,other,high,high,[],2017,,,,Recall to repair/replace.,"[""Recall notice""]",Verify recall completion with VIN check.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2017"", ""from_llm_year_parsed"": [""2017""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2017""}",2017,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
blower_motor_failure,HVAC blower motor failure,Blower motor failure,electrical,chronic_failure,medium,medium,[],,,Poor heater performance or weak fan speed on all settings.,,,"[""Weak airflow"", ""Inconsistent heating""]",Test all HVAC fan speeds during test drive.,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
bonnet_mechanism_failure,Bonnet mechanism or cable failure,Bonnet Mechanism,body,structural,medium,medium,[],,,Difficulty opening or securing the bonnet.,,,"[""Stiff bonnet release"", ""Bonnet not latching""]",Operate bonnet release and check latch mechanism.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
cabin_blower_control_unit_failure,Cabin blower control unit software failure,Blower control failure,electrical,sensor_fault,medium,medium,[],,,"No airflow from vents, blower motor fails.",Blower control unit software fault.,"Diagnose with OBD code B10B, replace control unit.","[""No air from vents"", ""Blower motor inoperative""]",Test all fan speeds and check for OBD code B10B.,1,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2019""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,,
cam_cradle_valve_cover_seal_leak,Cam cradle valve cover seal oil leak,Cam seal leak,engine,fluid_leak,low,medium,"[""1.4_TSI""]",,,"Oil seepage on engine front, potentially oil in spark plug wells.",Special sealant degrades over time.,Remove components and reseal with proper sealant.,"[""Oil residue on engine"", ""Oil in spark plug wells""]",Inspect front of engine for oil leaks and check spark plug wells.,1,"[{""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
camshaft_pulley_nut_loosening,Camshaft pulley nut loosening,Camshaft pulley,engine,structural,high,high,"[""1.2_TSI"", ""1.4_TSI""]",,,Potential camshaft pulley breakage.,Unsecured camshaft adjustment nuts.,Recall for inspection and repair.,"[""Engine noise"", ""Potential failure""]",Check for recall status and any unusual engine noises.,1,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2019""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,,
child_lock_recall,Child lock detent lever failure,Child Lock Recall,body,other,medium,high,[],2016,,Failure of child locks.,Damage during production process.,Recall to repair/replace.,"[""Recall notice"", ""Inoperative child lock""]",Verify recall completion with VIN check.,1,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""Golf R buyers guide MK7 & MK7.5 (2013-2021) Avoid buying broken Golf R with common faults (2.0TSI)""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2016"", ""from_llm_year_parsed"": [""2016""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2016""}",2016,"[""2.0_TSI""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
child_safety_lock_disengagement,Child safety lock sudden disengagement,Safety lock,body,intermittent_fault,high,high,[],,,Child safety locks may disengage unexpectedly.,Defective lock mechanism.,Recall for repair.,"[""Lock malfunction""]",Test child safety locks functionality.,1,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2019""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,,
clutch_premature_wear,Clutch premature wear on 2.0 TSI models,Clutch wear,gearbox,wear_item,high,medium,"[""2.0_TSI""]",,,"The clutch wears out prematurely, even without hard driving.",Clutch not built for the job.,Budget for or replace the clutch.,"[""Clutch slippage"", ""Poor engagement""]",Test clutch engagement and check for slippage during acceleration.,1,"[{""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
cracked_fuel_filter_valve,Cracked fuel filter valve,Fuel filter crack,fuel,fluid_leak,medium,medium,"[""1.6_TDI"", ""2.0_TDI""]",,,Smell of diesel in the engine bay.,Cracked fuel filter valve.,Relatively easy fix.,"[""Diesel smell in engine bay""]",Check for fuel odor and visible leaks around filter.,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,,,,"[""diesel_only""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
crank_walk_manual,Crank walk in manual gearbox engines,Crank walk,engine,chronic_failure,high,medium,"[""2.0_TSI"", ""1.8_TSI""]",,,Catastrophic engine failure due to excessive crankshaft play.,Undersized thrust bearings.,Replace thrust bearings; more common with aftermarket high-performance clutch pressure plates.,"[""Unusual engine noises"", ""Clutch pedal feel changes""]",Check for excessive crankshaft end play if possible.,1,"[{""video_id"": ""xiaRO3CEkjs"", ""title"": ""VW Golf MK7 GTI & R Engine Issues 2013-2020""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
crank_walk_thrust_bearing_failure,Crank walk destroying engine,Crank walk,engine,chronic_failure,high,medium,"[""1.8_TSI""]",,,Catastrophic engine failure due to crankshaft play.,Undersized thrust bearings that can wear prematurely or fall off.,Engine repair/replacement; more common with aftermarket high-performance clutches but can occur in stock cars.,"[""Unusual engine noises"", ""Clutch engagement issues"", ""Oil pressure warnings""]",Check for excessive crankshaft end play if symptoms arise; review maintenance history.,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}]",youtube,medium,More common with aftermarket high-performance clutches but can occur in stock cars.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
dashboard_dust_cover_scratches,Dashboard dust cover scratches easily,Dashboard scratches,body,wear_item,low,high,[],,,Dashboard plastic cover scratches from normal cleaning.,Overly sensitive material.,"Clean only with a Swiffer duster, not towels.","[""Visible fine scratches on dashboard""]",Inspect dashboard under light for scratches.,1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
defective_wheel_bearing_housings,Defective wheel bearing housings,Bearing housing,suspension,structural,medium,high,[],,,Wheel bearing housing failure.,Manufacturing defect.,Dealer visit for replacement.,"[""Wheel noise"", ""Vibration""]",Check for unusual noises or play in wheels.,1,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2019""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,,
dsg_clunky_low_speed,DSG clunky low-speed behavior,DSG clunkiness,gearbox,intermittent_fault,low,medium,"[""1.4_TSI""]",,,Gearbox is clunky and jittery with hesitation during low-speed maneuvers like coming out of reverse or a driveway.,,,"[""Hesitation or jerkiness at low speed""]",Test drive with low-speed maneuvers.,1,"[{""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
dsg_gear_selector_malfunction,DSG gear selector malfunction,DSG selector fault,gearbox,sensor_fault,medium,high,"[""2.0_TSI""]",,,Gear selector warning flashes on dash when moving out of park.,Inherent gear selector issue.,Repair or replace the gear selector mechanism.,"[""Gear selector warning light""]",Cycle through gear selector positions and check for warnings.,1,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""MK7 VW GOLF R BUYERS GUIDE : DO NOT BUY Without Watching This!""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
dsg_gearbox_seal_cap_leak,DSG gearbox seal cap oil leak,DSG seal leak,gearbox,fluid_leak,medium,medium,"[""2.0_TSI""]",,"low 37,000 Mi",Gearbox is wet with oil from leaking seals.,"Rubberized sealing caps fail, allowing oil to leak out.",Replace caps with aftermarket L-ring seals and perform DSG oil change.,"[""Oil residue on gearbox housing""]",Inspect DSG gearbox for oil leaks.,1,"[{""video_id"": ""rdQqxKgBEWg"", ""title"": ""Two BIG Problems The Volkswagen Golf 7.5 R Has!""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
dsg_transmission_failure,DSG transmission failure due to lack of service,DSG failure,gearbox,chronic_failure,high,medium,"[""1.4_TSI""]",,,Transmission malfunction or failure.,Lack of proper DSG fluid and filter service at recommended intervals.,"Perform regular DSG service every 40,000 miles.","[""Harsh shifting"", ""Transmission warnings""]",Check service history for DSG fluid changes.,1,"[{""video_id"": ""b3YzKwG7HxI"", ""title"": ""7 Things To Look For BEFORE Buying An MK7 VW!""}]",youtube,medium,Applies to DQ200 dry-clutch DSG.,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
early_15_tsi_cold_start_hesitation,Early 1.5 TSI cold start hesitation or kangarooing,Cold start hesitation,engine,intermittent_fault,medium,medium,"[""1.5_TSI""]",,,Cold start hesitation or kangarooing when pulling away gently.,,Software updates in later years.,"[""Hesitation on cold start""]",Test drive from cold start to check for hesitation.,1,"[{""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2017-2020""], ""from_model_scope_window"": [""2017-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2017-2020"", ""fallback_window_source"": ""engine""}",,,
early_fuel_pump_failure,Fuel pump failure on earlier cars,Fuel pump failure,fuel,chronic_failure,high,medium,"[""2.0_TSI""]",earlier cars,,"Fuel pump fails, causing the car to die.",Improper or incorrect plating of components within the fuel pump.,Replacement under warranty or recall.,"[""Engine stalling"", ""Difficulty starting""]",Check for any recall history on fuel pump.,1,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""earlier cars"", ""from_llm_year_parsed"": [""2013-2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2015""}",2013-2015,,
early_turbo_failure,Early model turbo prone to blowing,Turbo failure,engine,chronic_failure,high,high,"[""2.0_TSI""]",early 2015,,Turbocharger failure.,,Dealership warranty replacement for stock vehicles.,"[""Loss of power"", ""Unusual turbo noises""]","Check for turbo whistle, power loss, and warranty history.",1,"[{""video_id"": ""2X5bj2gX5z4"", ""title"": ""Common Problems of VW MK7 GTI""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""early 2015"", ""from_llm_year_parsed"": [""2015""], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2015""}",2015,,
electronic_handbrake_sticky,Electronic handbrake goes sticky,Handbrake sticky,brakes,wear_item,low,medium,[],,,Electronic handbrake becomes sticky with age.,,,"[""Sticky handbrake operation""]",Test electronic handbrake engagement and release.,1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=brakes is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
engine_catastrophic_failure,Engine catastrophic failure,Engine failure,engine,chronic_failure,high,low,"[""1.4_TSI""]",,,Engines imploding with catastrophic and hugely expensive failures.,,,"[""Unusual engine noises"", ""Loss of power""]",Get a thorough pre-purchase inspection including compression test.,1,"[{""video_id"": ""uWlJroGaFS0"", ""title"": ""Volkswagen Golf GTI, is the go-to hot hatch still any good? | ReDriven VW Golf GTI (Mk7/7.5) review.""}]",youtube,low,"Vague description, no specific cause or engine codes.",,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,,
evap_pump_recall,EVAP system fuel tank pump recall,EVAP recall,fuel,chronic_failure,medium,high,"[""2.0_TSI""]",2015 and 2016,,Clogged charcoal canister.,Faulty pump in fuel tank for EVAP system.,Recall code 20Y6 to replace the pump.,"[""EVAP system codes"", ""Fuel smell""]",Check if recall 20Y6 has been performed.,1,"[{""video_id"": ""5XND3jWg3sc"", ""title"": ""Golf GTI buyers guide MK7 & MK7.5 (2013-2020) Avoid buying broken VW GTI with common faults (2.0TSI)""}]",youtube,high,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2015 and 2016"", ""from_llm_year_parsed"": [""2015-2016""], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2015-2016""}",2015-2016,,
excessive_oil_consumption_ea111_ea211,Excessive oil consumption due to scraper rings or valve guides,Oil consumption,engine,chronic_failure,high,high,"[""1.2_TSI"", ""1.4_TSI""]",up to mid-2014,100k-200k km,Engine consumes excessive amounts of oil.,Bad design of oil scraper rings with small holes that clog with carbon and/or faulty valve guides in the cylinder head.,Engine repair/replacement; valve guide issue often fixed under warranty per VW document.,"[""Low oil level between changes"", ""Blue exhaust smoke""]",Check service history for oil consumption tests or repairs; inspect for oil leaks and exhaust smoke.,1,"[{""video_id"": ""4f1aVIA801g"", ""title"": ""VW Golf MK7 Issues of the Petrol Engines 2012-2020""}]",youtube,medium,VW did not officially acknowledge scraper ring cause specifically.,,"[{""engine"": ""1.2_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 3, ""pre_years"": [2014, 2017]}, {""engine"": ""1.4_TSI"", ""years"": ""2014-2017"", ""evidence_hits"": 4, ""pre_years"": [2014, 2017]}]","[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""up to mid-2014"", ""from_llm_year_parsed"": [""2013-2014""], ""from_transcript_context"": [""2013-2014""], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""intersect(llm_phrase, title)"", ""confidence"": ""high"", ""triangulated"": ""2013-2014""}",2013-2014,,
faulty_battery_batch,Faulty battery batch causing premature failure,Faulty battery,electrical,chronic_failure,low,medium,[],,,Battery fails prematurely.,A dodgy set of batteries were fitted to a load of cars from the factory.,"Replace the battery, potentially under warranty.","[""Battery failure"", ""Electrical issues""]","Check battery age and condition, test electrical system.",1,"[{""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""engine""}",,"[""2.0_TSI""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
fifth_door_seal_leak,Fifth door seal leaks in hatchback models,Hatch seal leak,body,fluid_leak,low,medium,[],2013 to 2017,,Water leaks from the fifth door (hatchback) due to seal failure.,Seals can break.,Replace the door seals.,"[""Water ingress in trunk""]",Check for moisture or water stains in the trunk area.,1,"[{""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": ""2013 to 2017"", ""from_llm_year_parsed"": [""2013-2017""], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""llm_phrase_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2017""}",2013-2017,"[""all""]","[""system_component=body is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
front_crankshaft_seal_leak,Front crankshaft seal oil leak,Crankshaft seal leak,engine,fluid_leak,medium,medium,"[""1.6_TDI"", ""2.0_TDI""]",,,Oil leak from the front of the engine on the timing belt side.,,,"[""Oil spots under front of engine""]",Inspect timing belt area for oil residue.,1,"[{""video_id"": ""ce2WTs_uBos"", ""title"": ""VW Golf MK7 Issues of the Diesel Engines 2012-2020""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2020""], ""from_engine_production_windows"": [""2013-2020""], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""engine"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2020""}",2013-2020,,
front_suspension_clunking,Front suspension thumping or clunking,Suspension clunk,suspension,noise,medium,medium,[],,,Thumping or clunking from the front suspension.,"Worn tie wishbone, bushings, strut bearings, or anti-roll bar drop linkages.",,"[""Clunking over bumps"", ""Thumping from front""]","Test drive over bumps, check for play in suspension components.",1,"[{""video_id"": ""RPskR5TPnh0"", ""title"": ""Why the Mk7 is the best generation of VW Golf""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2013-2020"", ""fallback_window_source"": ""model_window""}",,"[""all""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]"
front_suspension_squeak,Front suspension squeaking noise,Suspension squeak,suspension,noise,low,high,[],,,Squeaking noise from front suspension.,Worn strut mounts or bearings.,Inspect and replace strut mounts or bearings.,"[""Squeaking over bumps""]",Listen for squeaks during test drive over bumps.,1,"[{""video_id"": ""ftdK1Rg2ob8"", ""title"": ""Addressing common faults in VW Golf MK7 (2012-2019)""}]",youtube,medium,,,,"[""all_vw_golf_mk7""]","{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [""2013-2019""], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""2013-2020""], ""window_source"": ""model_window"", ""content_combine_rule"": ""title_only"", ""confidence"": ""medium"", ""triangulated"": ""2013-2019""}",2013-2019,,
