issue_id,label,system_component,affected_engines,affected_years,symptom,cause,fix,confidence,data_quality,source_videos,topic_id,topic_size,topic_top_terms,source,mention_count,distinct_channel_count,corroboration_count,video_type_category
oil_dilution_dpf_regeneration,Oil dilution from aborted DPF regen,engine,[],up to 2019,"Engine oil loses protective properties, potentially leading to catastrophic engine failure.",,,,,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
timing_chain_tensioner_failure,Timing chain stretch and tensioner failure,engine,[],up to 2019,"Timing chain stretches and plastic tensioner parts break off, causing oil feed blockages and engine damage.",,,,,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
wet_timing_belt_degradation,Wet timing belt degradation in oil,engine,[],Pre-2019,"Rubber timing belt breaks up in hot engine oil, blocking oil pickups and causing oil starvation.",,,,,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
wet_belt_oil_pump_failure,Wet belt oil pump failure,engine,[],,"Wet belt driving the oil pump can degrade, though less problematic than the earlier timing belt issue.",,,,,"[{""video_id"": ""THLOInExD7Y"", ""title"": ""AVOID These Car ENGINES!"", ""channel"": ""Scottish Car Clan"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
rear_visibility_obstructed,Seriously limited rear visibility,body,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,The view over your shoulder is seriously limited due to thick rear pillars.,,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
pedal_offset,Pedals offset to the right,other,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,"The pedals are slightly offset to the right, affecting driving position.",,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
jittery_low_speed_ride,Jittery ride at low speeds,suspension,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,"At lower speeds, the ride can feel a bit jittery.",,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
folded_seat_step_limits_cargo,Big step when seats folded,body,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,"When the rear seats are folded, they leave a big step in the floor, limiting options for carrying larger items.",,,,,"[{""video_id"": ""xCj4akEF9KE"", ""title"": ""Used Car Review: Renault Clio"", ""channel"": ""CarGurus UK"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
oil_consumption,High oil consumption leading to failure,engine,"[""1.2_TCE""]",,"Engine consumes excessive oil, which can lead to catastrophic engine failure.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
starter_motor_water_ingress,Starter motor water ingress and freezing,electrical,[],,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
suspension_noise,Excessive noise from suspension,suspension,[],,"Noticeable noise when driving, especially on damaged roads.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
vent_plastic_breakage,Fragile air vent plastics,body,[],,Air vents break easily if handled aggressively.,,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
r_link_system_bugs,R-Link infotainment system bugs,electrical,[],,"Infotainment system is slow, crashes, or prevents use of climate controls.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
start_stop_battery_drain,Start-stop system drains battery,electrical,[],,"Start-stop system causes excessive battery drain, leading to dead batteries.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
wiper_motor_failure,Front and rear wiper motor failure,electrical,[],,"Wiper motors fail permanently, causing wipers to stop working.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
fuel_gauge_inaccuracy,Inaccurate fuel level gauge,fuel,[],,"Fuel gauge shows incorrect level, often dropping suddenly and stranding the driver.",,,,,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
egr_valve_stuck_open,EGR valve stuck open,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,"Engine idle is rough, particularly when warm.",,,,,"[{""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
egr_valve_stuck_closed,EGR valve stuck closed,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,Engine experiences pinking or pinging (detonation).,,,,,"[{""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
egr_system_carbon_buildup,EGR system carbon buildup,engine,"[""0.9_TCE"", ""1.2_TCE"", ""1.5_DCI""]",,"EGR flow becomes restricted, causing the system to effectively not work.",,,,,"[{""video_id"": ""lCizL9ms6xY"", ""title"": ""How To Tell If Your EGR Is Faulty - Common EGR Symptoms & Problems."", ""channel"": ""TorqueCars"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
maf_sensor_failure,MAF sensor failure or contamination,engine,"[""0.9_TCE"", ""1.2_NA"", ""1.2_TCE"", ""1.5_DCI""]",,"Engine misfires, rough idle, sluggish acceleration, stalling, or black smoke from exhaust.",,,,,"[{""video_id"": ""2K6mkzb3WRA"", ""title"": ""11 Bad MAF Sensor Symptoms | Car Mass Air flow Sensor Problems"", ""channel"": ""Car Care Clues"", ""video_type_category"": ""organic""}]",enum_augment,1,[],youtube,1,1,1,organic
